num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
198,mcs_vc7_15knee,knee,knee,knee,knee,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,knee
199,mcs_vc7_16leg,leg,leg,leg,leg,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,leg
200,mcs_vc7_17lips,lips,lips,lips,lips,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,lips
201,mcs_vc7_18mouth,mouth,mouth,mouth,mouth,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,mouth
202,mcs_vc7_19nose,nose,nose,nose,nose,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,nose
203,mcs_vc7_20owie_booboo,owiebooboo,owiebooboo,owiebooboo,owiebooboo,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,owie/boo boo
204,mcs_vc7_21penis,penis,penis,penis,penis,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,penis*
205,mcs_vc7_22shoulder,shoulder,shoulder,shoulder,shoulder,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,shoulder
206,mcs_vc7_23tooth,tooth,tooth,tooth,tooth,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tooth
207,mcs_vc7_24toe,toe,toe,toe,toe,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,toe
208,mcs_vc7_25tongue,tongue,tongue,tongue,tongue,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tongue
209,mcs_vc7_26tummy,tummy,tummy,tummy,tummy,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,tummy
210,mcs_vc7_27vagina,vagina,vagina,vagina,vagina,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,vagina*
211,mcs_vc8_1basket,basket,basket,basket,basket,household,Noun,Noun,Noun,Noun,Noun,Noun,basket
212,mcs_vc8_2blanket,blanket,blanket,blanket,blanket,household,Noun,Noun,Noun,Noun,Noun,Noun,blanket
213,mcs_vc8_3bottle,bottle,bottle,bottle,bottle,household,Noun,Noun,Noun,Noun,Noun,Noun,bottle
214,mcs_vc8_4box,box,box,box,box,household,Noun,Noun,Noun,Noun,Noun,Noun,box
215,mcs_vc8_5bowl,5bowl,5bowl,5bowl,5bowl,household,Noun,Noun,Noun,Noun,Noun,Noun,bowl
216,mcs_vc8_6broom,broom,broom,broom,broom,household,Noun,Noun,Noun,Noun,Noun,Noun,broom
217,mcs_vc8_7brush,brush,brush,brush,brush,household,Noun,Noun,Noun,Noun,Noun,Noun,brush
